term,status,food_id,name,source
"cucumber","existing","ifct-cucumber-green-short","Cucumber, green, short (raw)","ifct"
"tomato","existing","ifct-tomato-green","Tomato, green (raw)","ifct"
"onion","existing","ifct-onion-stalk","Onion, stalk (raw)","ifct"
"potato","existing","ifct-potato-red-skin","Potato, red skin (raw)","ifct"
"carrot","existing","ifct-carrot-red","Carrot, red (raw)","ifct"
"cauliflower","existing","ifct-cauliflower","Cauliflower (raw)","ifct"
"cabbage","existing","ifct-cabbage-green","Cabbage, green (raw)","ifct"
"brinjal","existing","ifct-brinjal-1","Brinjal 1 (raw)","ifct"
"okra","existing","ifct-ladies-finger","Ladies finger (raw)","ifct"
"spinach","existing","ifct-spinach","Spinach (raw)","ifct"
"bottle gourd","existing","ifct-bottle-gourd-round-pale-green","Bottle gourd, round, pale green (raw)","ifct"
"ridge gourd","existing","ifct-ridge-gourd","Ridge gourd (raw)","ifct"
"bitter gourd","existing","ifct-bitter-gourd-jagged-teeth-ridges-short","Bitter gourd, jagged, teeth ridges, short (raw)","ifct"
"pumpkin","existing","ifct-pumpkin-leaves-tender","Pumpkin leaves, tender (raw)","ifct"
"radish","existing","ifct-radish-leaves","Radish leaves (raw)","ifct"
"beetroot","existing","ifct-beetroot","Beetroot (raw)","ifct"
"green peas","existing","peas","Green peas","custom"
"french beans","existing","ifct-french-beans-hybrid","French beans, hybrid (raw)","ifct"
"capsicum","existing","ifct-capsicum-red","Capsicum, red (raw)","ifct"
"green chilli","existing","ifct-chillies-red","Chillies, red","ifct"
"ginger","existing","ifct-ginger-fresh","Ginger, fresh","ifct"
"garlic","existing","ifct-garlic-big-cloves","Garlic, big cloves","ifct"
"coriander leaves","existing","ifct-coriander-leaves","Coriander leaves","ifct"
"curry leaves","existing","ifct-curry-leaves","Curry leaves","ifct"
"mint leaves","existing","ifct-mint-leaves","Mint leaves","ifct"
"lemon","existing","ifct-lemon-juice","Lemon, juice","ifct"
"banana","existing","ifct-banana-ripe-red","Banana, ripe, red","ifct"
"apple","existing","ifct-apple-big","Apple, big","ifct"
"mango","existing","ifct-mango-green-raw","Mango, green, raw (raw)","ifct"
"papaya","existing","ifct-papaya-raw","Papaya, raw (raw)","ifct"
"guava","existing","ifct-guava-pink-flesh","Guava, pink flesh","ifct"
"pomegranate","existing","ifct-pomegranate-maroon-seeds","Pomegranate, maroon seeds","ifct"
"grapes","existing","ifct-grapes-seeded-round-red","Grapes, seeded, round, red","ifct"
"watermelon","existing","watermelon","Watermelon","custom"
"muskmelon","existing","ifct-musk-melon-orange-flesh","Musk melon, orange flesh","ifct"
"orange","existing","ifct-orange-pulp","Orange, pulp","ifct"
"pineapple","existing","ifct-pineapple","Pineapple","ifct"
"sapota","existing","ifct-sapota","Sapota","ifct"
"custard apple","existing","ifct-custard-apple","Custard apple","ifct"
"jackfruit","existing","usda-jackfruit-raw","Jackfruit, raw","usda"
"fig","existing","ifct-fig","Fig","ifct"
"dates","existing","ifct-dates-processed","Dates, processed","ifct"
"raisins","existing","ifct-raisins-dried-black","Raisins, dried, black","ifct"
"toor dal","existing","ifct-red-gram-dal","Red gram, dal (raw)","ifct"
"moong dal","existing","ifct-green-gram-dal","Green gram, dal (raw)","ifct"
"chana dal","existing","ifct-bengal-gram-dal","Bengal gram, dal (raw)","ifct"
"masoor dal","existing","ifct-lentil-dal","Lentil, dal (raw)","ifct"
"urad dal","existing","ifct-black-gram-dal","Black gram, dal (raw)","ifct"
"rajma","existing","ifct-rajmah-red","Rajmah, red (raw)","ifct"
"chickpea","existing","ifct-bengal-gram-whole","Bengal gram, whole (raw)","ifct"
"soybean","existing","ifct-soya-bean-brown","Soya bean, brown (raw)","ifct"
"rice","existing","ifct-rice-raw-milled","Rice, raw, milled (raw)","ifct"
"basmati rice","existing","ifct-rice-raw-milled","Rice, raw, milled (raw)","ifct"
"wheat flour","existing","ifct-wheat-flour-atta","Wheat flour, atta (raw)","ifct"
"maida","existing","ifct-wheat-flour-refined","Wheat flour, refined (raw)","ifct"
"semolina","existing","ifct-wheat-semolina","Wheat, semolina (raw)","ifct"
"ragi","existing","ifct-ragi","Ragi (raw)","ifct"
"jowar","existing","ifct-jowar","Jowar (raw)","ifct"
"bajra","existing","ifct-bajra","Bajra (raw)","ifct"
"oats","existing","oats-dry","Oats, dry","custom"
"milk","existing","ifct-milk-whole-cow","Milk, whole, Cow","ifct"
"curd","existing","curd","Curd / dahi","custom"
"paneer","existing","ifct-paneer","Paneer","ifct"
"ghee","existing","ifct-ghee","Ghee","ifct"
"butter","existing","usda-butter-salted","Butter, salted","usda"
"buttermilk","existing","buttermilk","Buttermilk / chaas","custom"
"mustard oil","existing","ifct-mustard-oil","Mustard oil","ifct"
"groundnut oil","existing","ifct-groundnut-oil","Groundnut oil","ifct"
"sunflower oil","existing","ifct-sunflower-oil","Sunflower oil","ifct"
"coconut oil","existing","ifct-coconut-oil","Coconut oil","ifct"
"olive oil","existing","oil","Cooking oil","custom"
"groundnut","existing","ifct-groundnut-oil","Groundnut oil","ifct"
"almond","existing","ifct-almond","Almond","ifct"
"cashew","existing","ifct-cashew-nut","Cashew nut","ifct"
"walnut","existing","ifct-walnut","Walnut","ifct"
"pistachio","existing","ifct-pistachio-nuts","Pistachio nuts","ifct"
"sesame seed","new","usda-sesame-seeds","Sesame seeds, whole, dried","usda"
"flax seed","existing","flax","Flax seeds","custom"
"jaggery","existing","ifct-jaggery-cane","Jaggery, cane","ifct"
"honey","existing","honey","Honey","custom"
"turmeric powder","existing","ifct-turmeric-powder","Turmeric powder","ifct"
"cumin seed","existing","ifct-cumin-seeds","Cumin seeds","ifct"
"coriander seed","existing","ifct-coriander-seeds","Coriander seeds","ifct"
"black pepper","existing","ifct-pepper-black","Pepper, black","ifct"
"chicken breast","existing","chicken-breast","Chicken breast, cooked","custom"
"egg","existing","usda-egg-whole-raw-fresh","Egg, whole, raw, fresh","usda"
"fish rohu","existing","ifct-rohu","Rohu (raw)","ifct"
"prawns","existing","ifct-prawns-big","Prawns, big (raw)","ifct"
"tofu","existing","tofu","Tofu","custom"
"dal tadka","existing","dal-cooked","Dal, cooked","custom"
"dal makhani","existing","dish-dal-makhani","Dal makhani","dish"
"chole bhature","MISS","","",""
"rajma chawal","existing","ifct-rajmah-red","Rajmah, red (raw)","ifct"
"paneer butter masala","existing","dish-paneer-in-butter-sauce","Paneer in butter sauce","dish"
"palak paneer","existing","spinach","Spinach, cooked","custom"
"shahi paneer","existing","dish-shahi-paneer","Shahi paneer","dish"
"matar paneer","existing","dish-pea-paneer-curry","Pea paneer curry","dish"
"aloo gobi","existing","sabzi-mixed","Mixed vegetable sabzi","custom"
"aloo paratha","MISS","","",""
"plain paratha","existing","paratha","Paratha, plain","custom"
"roti","existing","roti","Roti / chapati","custom"
"naan","existing","naan","Naan","custom"
"poha","existing","poha","Poha","custom"
"upma","existing","upma","Upma","custom"
"idli","existing","idli","Idli","custom"
"masala dosa","existing","masala-dosa","Masala dosa","custom"
"plain dosa","existing","dosa","Dosa, plain","custom"
"sambar","existing","dal-cooked","Dal, cooked","custom"
"rasam","existing","dish-rasam-powder","Rasam powder","dish"
"vada pav","MISS","","",""
"pav bhaji","existing","dish-pav-bhaji","Pav bhaji","dish"
"misal pav","MISS","","",""
"samosa","existing","samosa","Samosa","custom"
"pakora","existing","pakora","Pakora","custom"
"biryani","existing","biryani-veg","Veg biryani","custom"
"veg pulao","existing","dish-peas-pulao","Peas pulao","dish"
"khichdi","existing","khichdi","Khichdi","custom"
"butter chicken","existing","dish-butter-chicken","Butter chicken","dish"
"chicken tikka masala","MISS","","",""
"chicken curry","existing","chicken-breast","Chicken breast, cooked","custom"
"egg curry","existing","dish-egg-curry","Egg curry","dish"
"mutton curry","existing","mutton","Mutton, cooked","custom"
"fish curry","existing","fish","Fish, cooked","custom"
"gulab jamun","existing","gulab-jamun","Gulab jamun","custom"
"jalebi","MISS","","",""
"rasgulla","existing","dish-rasgulla","Rasgulla","dish"
"besan ladoo","existing","dish-gram-flour-ladoo","Gram flour ladoo","dish"
"kheer","existing","dish-cucumber-raita","Cucumber raita","dish"
"halwa","existing","dish-carrot-halwa","Carrot halwa","dish"
"lassi","existing","buttermilk","Buttermilk / chaas","custom"
"masala chai","MISS","","",""
